"table","position","name","type","default_kind","default_expression"
"jp_researchers",1,"user_id","String","",""
"jp_researchers",2,"creator_id","String","",""
"jp_researchers",3,"creator_type","String","",""
"jp_researchers",4,"created","DateTime","",""
"jp_researchers",5,"modifier_id","String","",""
"jp_researchers",6,"modifier_type","String","",""
"jp_researchers",7,"modified","DateTime","",""
"jp_researchers",8,"context","String","",""
"jp_researchers",9,"id","String","",""
"jp_researchers",10,"type","String","",""
"jp_researchers",11,"permalink","String","",""
"jp_researchers",12,"family_name_ja","String","",""
"jp_researchers",13,"family_name_ja_kana","String","",""
"jp_researchers",14,"family_name_en","String","",""
"jp_researchers",15,"given_name_ja","String","",""
"jp_researchers",16,"given_name_ja_kana","String","",""
"jp_researchers",17,"given_name_en","String","",""
"jp_researchers",18,"display_name_kana","String","",""
"jp_researchers",19,"display_nickname","String","",""
"jp_researchers",20,"display_image","String","",""
"jp_researchers",21,"display_contact_pt","String","",""
"jp_researchers",22,"display_profile","String","",""
"jp_researchers",23,"display_url","String","",""
"jp_researchers_affiliations",1,"researcher_user_id","String","",""
"jp_researchers_affiliations",2,"affiliation_ja","String","",""
"jp_researchers_affiliations",3,"affiliation_en","String","",""
"jp_researchers_affiliations",4,"section_ja","String","",""
"jp_researchers_affiliations",5,"section_en","String","",""
"jp_researchers_affiliations",6,"job_ja","String","",""
"jp_researchers_affiliations",7,"job_en","String","",""
"jp_researchers_affiliations",8,"display_affiliation","String","",""
"jp_researchers_affiliations",9,"display_job","String","",""
"jp_researchers_affiliations",10,"rm_institution_code","String","",""
"jp_researchers_degrees",1,"researcher_user_id","String","",""
"jp_researchers_degrees",2,"degree_ja","String","",""
"jp_researchers_degrees",3,"degree_en","String","",""
"jp_researchers_degrees",4,"degree_institution_ja","String","",""
"jp_researchers_degrees",5,"degree_institution_en","String","",""
"jp_researchers_degrees",6,"degree_date","String","",""
"jp_researchers_degrees",7,"display_degree","String","",""
"jp_researchers_degrees",8,"rm_institution_code","String","",""
"jp_researchers_education",1,"researcher_user_id","String","",""
"jp_researchers_education",2,"rm_id","String","",""
"jp_researchers_education",3,"display","String","",""
"jp_researchers_education",4,"major_achievement","UInt8","",""
"jp_researchers_education",5,"creator_id","String","",""
"jp_researchers_education",6,"creator_type","String","",""
"jp_researchers_education",7,"created","DateTime","",""
"jp_researchers_education",8,"modifier_id","String","",""
"jp_researchers_education",9,"modifier_type","String","",""
"jp_researchers_education",10,"modified","DateTime","",""
"jp_researchers_education",11,"from_date","String","",""
"jp_researchers_education",12,"to_date","String","",""
"jp_researchers_education",13,"rm_institution_code","String","",""
"jp_researchers_education",14,"affiliation_ja","String","",""
"jp_researchers_education",15,"affiliation_en","String","DEFAULT","''"
"jp_researchers_education",16,"department_ja","String","DEFAULT","''"
"jp_researchers_education",17,"department_en","String","DEFAULT","''"
"jp_researchers_education",18,"course_ja","String","DEFAULT","''"
"jp_researchers_education",19,"course_en","String","DEFAULT","''"
"jp_researchers_education",20,"address_country","String","DEFAULT","''"
"jp_researchers_extra",1,"user_id","String","",""
"jp_researchers_extra",2,"gender","Nullable(String)","",""
"jp_researchers_institute_property",1,"id","UInt64","",""
"jp_researchers_institute_property",2,"original_institute","String","",""
"jp_researchers_institute_property",3,"college","String","",""
"jp_researchers_institute_property",4,"college_country","String","",""
"jp_researchers_institute_property",5,"zone","String","",""
"jp_researchers_institute_property",6,"operation_type","String","",""
"jp_researchers_institute_property",7,"college_type","String","",""
"jp_researchers_research_areas",1,"researcher_user_id","String","",""
"jp_researchers_research_areas",2,"rm_id","String","",""
"jp_researchers_research_areas",3,"display","String","",""
"jp_researchers_research_areas",4,"major_achievement","UInt8","",""
"jp_researchers_research_areas",5,"creator_id","String","",""
"jp_researchers_research_areas",6,"creator_type","String","",""
"jp_researchers_research_areas",7,"created","DateTime","",""
"jp_researchers_research_areas",8,"modifier_id","String","",""
"jp_researchers_research_areas",9,"modifier_type","String","",""
"jp_researchers_research_areas",10,"modified","DateTime","",""
"jp_researchers_research_areas",11,"discipline_number","String","",""
"jp_researchers_research_areas",12,"item_number","String","",""
"jp_researchers_research_areas",13,"discipline_ja","String","",""
"jp_researchers_research_areas",14,"discipline_en","String","",""
"jp_researchers_research_areas",15,"research_field_ja","String","",""
"jp_researchers_research_areas",16,"research_field_en","String","",""
"jp_researchers_research_experience",1,"researcher_user_id","String","",""
"jp_researchers_research_experience",2,"rm_id","String","",""
"jp_researchers_research_experience",3,"display","String","",""
"jp_researchers_research_experience",4,"major_achievement","UInt8","",""
"jp_researchers_research_experience",5,"creator_id","String","",""
"jp_researchers_research_experience",6,"creator_type","String","",""
"jp_researchers_research_experience",7,"created","DateTime","",""
"jp_researchers_research_experience",8,"modifier_id","String","",""
"jp_researchers_research_experience",9,"modifier_type","String","",""
"jp_researchers_research_experience",10,"modified","DateTime","",""
"jp_researchers_research_experience",11,"from_date","String","",""
"jp_researchers_research_experience",12,"to_date","String","DEFAULT","''"
"jp_researchers_research_experience",13,"rm_institution_code","String","",""
"jp_researchers_research_experience",14,"affiliation_ja","String","",""
"jp_researchers_research_experience",15,"affiliation_en","String","DEFAULT","''"
"jp_researchers_research_experience",16,"section_ja","String","",""
"jp_researchers_research_experience",17,"section_en","String","DEFAULT","''"
"jp_researchers_research_experience",18,"job_ja","String","",""
"jp_researchers_research_experience",19,"job_en","String","DEFAULT","''"
"jp_researchers_research_experience",20,"address_country","String","",""
"v_jp_researchers_assistant_professor_experience",1,"researcher_user_id","String","",""
"v_jp_researchers_assistant_professor_experience",2,"from_date","Int16","",""
"v_jp_researchers_assistant_professor_experience",3,"to_date","Int16","",""
"v_jp_researchers_assistant_professor_experience",4,"affiliation","String","",""
"v_jp_researchers_assistant_professor_experience",5,"college","String","",""
"v_jp_researchers_assistant_professor_experience",6,"college_country","String","",""
"v_jp_researchers_degree_of_doctor",1,"researcher_user_id","String","",""
"v_jp_researchers_degree_of_doctor",2,"degree_en","String","",""
"v_jp_researchers_degree_of_doctor",3,"degree_ja","String","",""
"v_jp_researchers_degree_of_doctor",4,"degree_institution_ja","String","",""
"v_jp_researchers_degree_of_doctor",5,"degree_institution_en","String","",""
"v_jp_researchers_degree_of_doctor",6,"degree_institution_code","String","",""
"v_jp_researchers_degree_of_doctor",7,"degree_date","String","",""
"v_jp_researchers_degree_of_doctor_detail",1,"researcher_user_id","String","",""
"v_jp_researchers_degree_of_doctor_detail",2,"family_name","Nullable(String)","",""
"v_jp_researchers_degree_of_doctor_detail",3,"given_name","Nullable(String)","",""
"v_jp_researchers_degree_of_doctor_detail",4,"gender","Nullable(String)","",""
"v_jp_researchers_degree_of_doctor_detail",5,"degree","String","",""
"v_jp_researchers_degree_of_doctor_detail",6,"degree_date","Nullable(Int32)","",""
"v_jp_researchers_degree_of_doctor_detail",7,"degree_institute","Nullable(String)","",""
"v_jp_researchers_degree_of_doctor_detail",8,"degreeType","String","",""
"v_jp_researchers_degree_of_doctor_detail",9,"discipline","String","",""
"v_jp_researchers_degree_of_doctor_detail",10,"disciplineCount","UInt64","",""
"v_jp_researchers_degree_of_doctor_detail",11,"research","String","",""
"v_jp_researchers_degree_of_doctor_detail",12,"last_modify_date","DateTime","",""
"v_jp_researchers_full_professor_experience",1,"researcher_user_id","String","",""
"v_jp_researchers_full_professor_experience",2,"from_date","Int16","",""
"v_jp_researchers_full_professor_experience",3,"to_date","Int16","",""
"v_jp_researchers_full_professor_experience",4,"affiliation","String","",""
"v_jp_researchers_full_professor_experience",5,"college","String","",""
"v_jp_researchers_full_professor_experience",6,"college_country","String","",""
"v_jp_researchers_post_doctoral_experience",1,"researcher_user_id","String","",""
"v_jp_researchers_post_doctoral_experience",2,"affiliation","String","",""
"v_jp_researchers_post_doctoral_experience",3,"job","String","",""
"v_jp_researchers_post_doctoral_experience",4,"from_date","String","",""
"v_jp_researchers_post_doctoral_experience",5,"to_date","String","",""
"v_jp_researchers_post_doctoral_experience",6,"college","String","",""
"v_jp_researchers_post_doctoral_experience",7,"college_country","String","",""
"v_jp_researchers_post_doctoral_experience",8,"college_type","String","",""
"v_jp_researchers_post_doctoral_experience",9,"operation_type","String","",""
